label,probability,prediction
0,0.439512931,0
0,0.549535829,1
1,0.410093529,0
0,0.09054722,0
0,0.53692241,1
1,0.715099024,1
0,0.061745532,0
0,0.455612713,0
1,0.797619921,1
0,0.285784672,0
1,0.359679676,0
1,0.927104676,1
1,0.913025489,1
1,0.514198572,1
1,0.865226973,1
0,0.270049367,0
0,0.238570129,0
1,0.471920871,0
0,0.690046042,1
1,0.780034386,1
1,0.979276445,1
1,0.594168994,1
1,0.843207287,1
0,0.29083621,0
1,0.757942981,1
1,0.77812671,1
0,0.408029641,0
1,0.706101818,1
0,0.425998686,0
1,0.64218871,1
0,0.896356431,1
1,0.045525664,0
0,0.427144211,0
1,0.874673052,1
0,0.053529602,0
1,0.55931727,1
1,0.928626955,1
1,0.878800819,1
1,0.827442149,1
1,0.667868133,1
1,0.801138173,1
0,0.285058826,0
0,0.687168859,1
1,0.678137959,1
0,0.467613642,0
1,0.748302301,1
0,0.576962364,1
1,0.603331526,1
0,0.120668579,0
1,0.906884475,1
1,0.944873756,1
0,0.26020312,0
0,0.059021951,0
1,0.637540432,1
1,0.960442249,1
0,0.041018952,0
0,0.044363581,0
1,0.541823939,1
1,0.966238699,1
0,0.241556529,0
1,0.652086692,1
0,0.187626168,0
0,0.898346437,1
0,0.497140025,0
1,0.734876615,1
1,0.80830357,1
0,0.546561928,1
0,0.107337331,0
1,0.967438925,1
0,0.190996237,0
1,0.862311818,1
1,0.888758783,1
1,0.95901995,1
0,0.277709675,0
1,0.654220617,1
0,0.65684271,1
1,0.989738553,1
1,0.805344521,1
0,0.806563226,1
0,0.912410115,1
0,0.387195654,0
0,0.011913468,0
0,0.277816917,0
1,0.956449153,1
1,0.00434416,0
1,0.738736841,1
1,0.730692341,1
0,0.713363143,1
1,0.915819431,1
1,0.75449017,1
0,0.42612867,0
1,0.779241413,1
0,0.269162137,0
0,0.161729779,0
0,0.897933464,1
0,0.631866827,1
1,0.500546749,1
1,0.435559015,0
1,0.876738197,1
1,0.022469719,0
1,0.656867594,1
0,0.232939085,0
0,0.021752168,0
0,0.079867551,0
0,0.398130069,0
0,0.557839547,1
0,0.170247674,0
1,0.869226648,1
0,0.263180718,0
1,0.940626114,1
0,0.335847818,0
1,0.846058731,1
1,0.895699617,1
1,0.394292851,0
1,0.843155631,1
0,0.478329515,0
0,0.446152408,0
0,0.10309959,0
1,0.838062662,1
1,0.931981413,1
0,0.533514906,1
1,0.936579095,1
1,0.560623809,1
1,0.909306109,1
1,0.286195463,0
0,0.686576165,1
1,0.854016688,1
0,0.217187902,0
0,0.392355127,0
1,0.619291256,1
0,0.058632009,0
1,0.90508211,1
0,0.022013081,0
1,0.59288474,1
1,0.590498597,1
1,0.280715061,0
1,0.919013241,1
0,0.027038804,0
0,0.41199251,0
1,0.657105147,1
0,0.916231288,1
0,0.104115231,0
0,0.456255163,0
1,0.864630957,1
0,0.007346315,0
1,0.653450206,1
1,0.516732521,1
0,0.282471266,0
1,0.414230815,0
1,0.646888163,1
0,0.076007145,0
1,0.559241951,1
1,0.705521245,1
0,0.016563788,0
0,0.287786266,0
0,0.302299043,0
1,0.883520745,1
1,0.833089934,1
0,0.228948727,0
1,0.757097572,1
1,0.976929503,1
1,0.536912203,1
0,0.008940401,0
1,0.716576962,1
0,0.057621194,0
1,0.772724268,1
0,0.056146564,0
1,0.715732722,1
0,0.285388695,0
1,0.288340688,0
0,0.181958991,0
1,0.681998308,1
1,0.361432968,0
1,0.997052665,1
0,0.577533761,1
0,0.50748325,1
1,0.984931573,1
0,0.199220712,0
1,0.809289208,1
1,0.795311638,1
0,0.658556935,1
0,0.378608836,0
1,0.725526209,1
1,0.520722759,1
0,0.581312042,1
1,0.987887475,1
1,0.595233912,1
1,0.550245134,1
0,0.132901631,0
1,0.225875661,0
1,0.410371421,0
0,0.468897063,0
0,0.088620184,0
0,0.167995353,0
0,0.254846865,0
0,0.048062827,0
1,0.965557764,1
1,0.873881622,1
1,0.970394751,1
0,0.407814743,0
0,0.090319849,0
0,0.451091439,0
0,0.251679657,0
1,0.826356662,1
1,0.968299843,1
0,0.316150787,0
0,0.092011498,0
1,0.545729148,1
0,0.04403469,0
0,0.228988891,0
0,0.495642787,0
0,0.264590044,0
1,0.990124215,1
0,0.060895384,0
0,0.41599271,0
0,0.891550147,1
0,0.382859571,0
1,0.794858388,1
1,0.734734957,1
0,0.121138737,0
1,0.678295283,1
1,0.724012887,1
1,0.988900151,1
0,0.033414495,0
0,0.521301764,1
1,0.563528446,1
0,0.374367655,0
1,0.53974526,1
0,0.070655751,0
1,0.210790439,0
1,0.531576152,1
0,0.24448972,0
0,0.290963375,0
1,0.866667922,1
1,0.390906389,0
0,0.295488633,0
0,0.258790381,0
1,0.716777584,1
0,0.265772606,0
0,0.316853503,0
1,0.734052117,1
1,0.831062654,1
1,0.979779641,1
1,0.764179919,1
1,0.982280712,1
1,0.797998968,1
1,0.952429176,1
1,0.564102966,1
0,0.393987926,0
1,0.917753513,1
1,0.84682174,1
0,0.186252431,0
1,0.748158285,1
0,0.351371611,0
1,0.711453671,1
0,0.037304499,0
1,0.723356851,1
0,0.34195748,0
1,0.836074435,1
0,0.363767397,0
0,0.210039579,0
1,0.820617936,1
1,0.766361295,1
0,0.241023142,0
0,0.502262114,1
0,0.391216881,0
0,0.309376448,0
0,0.313145,0
0,0.10489598,0
0,0.622806524,1
1,0.61673222,1
1,0.741598992,1
1,0.354807631,0
0,0.225067101,0
1,0.260198284,0
0,0.562827521,1
1,0.988630355,1
0,0.238677611,0
1,0.575189758,1
1,0.598763985,1
1,0.474087433,0
1,0.912121751,1
1,0.905323158,1
0,0.155171722,0
0,0.047862318,0
0,0.378375005,0
1,0.66220869,1
0,0.339479362,0
1,0.115511497,0
0,0.087109193,0
0,0.198466357,0
1,0.719186275,1
0,0.161698229,0
0,0.411583082,0
0,0.17303511,0
1,0.920949646,1
0,0.81872285,1
0,0.325917944,0
1,0.89805985,1
1,0.447621233,0
0,0.501285303,1
1,0.74563922,1
0,0.207525575,0
0,0.494110759,0
1,0.308492343,0
1,0.698662653,1
0,0.27962344,0
0,0.409384092,0
1,0.8557148,1
1,0.733966583,1
0,0.264411287,0
1,0.748381876,1
1,0.920849007,1
0,0.258948418,0
0,0.095564821,0
1,0.635930468,1
1,0.862665513,1
0,0.606142072,1
0,0.002491705,0
1,0.868823733,1
0,0.010187147,0
1,0.923691289,1
1,0.598080406,1
0,0.087958418,0
1,0.353091858,0
1,0.552344369,1
0,0.084067585,0
0,0.179793238,0
0,0.504425025,1
0,0.43259383,0
1,0.449475857,0
0,0.351317583,0
1,0.860722976,1
0,0.314099241,0
1,0.716715939,1
0,0.402502378,0
1,0.211737632,0
1,0.596236782,1
0,0.721649762,1
0,0.158799189,0
0,0.615291517,1
0,0.922246131,1
1,0.474839814,0
1,0.455004854,0
0,0.220215914,0
0,0.459114304,0
1,0.949809833,1
0,0.454907852,0
1,0.528319939,1
1,0.380440888,0
0,0.082793865,0
1,0.664511995,1
0,0.536903618,1
0,0.145037979,0
0,0.200208235,0
1,0.508972518,1
1,0.815210241,1
0,0.72348604,1
0,0.077822216,0
1,0.756777181,1
0,0.650307569,1
0,0.375015563,0
1,0.281281743,0
1,0.461710956,0
0,0.077264581,0
1,0.859281341,1
1,0.718261224,1
1,0.797155506,1
0,0.675662019,1
1,0.851101802,1
1,0.67358401,1
1,0.279383649,0
1,0.959627663,1
1,0.967378078,1
0,0.365622276,0
1,0.533627031,1
0,0.214633137,0
0,0.069072871,0
1,0.77326807,1
1,0.750952631,1
1,0.43954804,0
1,0.963946485,1
1,0.655806013,1
1,0.531670878,1
1,0.5045214,1
0,0.419300466,0
1,0.434590621,0
1,0.366121387,0
0,0.346441232,0
1,0.935620768,1
0,0.253611554,0
0,0.509562594,1
0,0.595223722,1
0,0.114405514,0
0,0.165773767,0
0,0.16514687,0
0,0.135781395,0
1,0.909506404,1
0,0.147897732,0
1,0.598414415,1
0,0.075867506,0
0,0.418469556,0
